cpu
Epoch: 1 	Discriminator Loss: 0.007354 	Generator Loss: 0.086646 	D(x): 0.834829 	D(G(z)): 0.190254 / 0.011582
Epoch: 2 	Discriminator Loss: 0.000831 	Generator Loss: 0.060457 	D(x): 0.954882 	D(G(z)): 0.050770 / 0.000712
Epoch: 3 	Discriminator Loss: 0.001153 	Generator Loss: 0.060782 	D(x): 0.926903 	D(G(z)): 0.073658 / 0.001967
Epoch: 4 	Discriminator Loss: 0.001564 	Generator Loss: 0.025788 	D(x): 0.863674 	D(G(z)): 0.131620 / 0.012485
Epoch: 5 	Discriminator Loss: 0.000566 	Generator Loss: 0.021693 	D(x): 0.925509 	D(G(z)): 0.069533 / 0.004456
Epoch: 6 	Discriminator Loss: 0.000331 	Generator Loss: 0.019127 	D(x): 0.951810 	D(G(z)): 0.048004 / 0.001388
Epoch: 7 	Discriminator Loss: 0.000218 	Generator Loss: 0.013889 	D(x): 0.957265 	D(G(z)): 0.038313 / 0.003982
Epoch: 8 	Discriminator Loss: 0.000237 	Generator Loss: 0.016263 	D(x): 0.955028 	D(G(z)): 0.041065 / 0.002873
Epoch: 9 	Discriminator Loss: 0.000199 	Generator Loss: 0.012306 	D(x): 0.956119 	D(G(z)): 0.042214 / 0.004683
Epoch: 10 	Discriminator Loss: 0.000407 	Generator Loss: 0.011097 	D(x): 0.920831 	D(G(z)): 0.069467 / 0.004820
Epoch: 11 	Discriminator Loss: 0.000157 	Generator Loss: 0.010165 	D(x): 0.954747 	D(G(z)): 0.046105 / 0.002579
Epoch: 12 	Discriminator Loss: 0.000130 	Generator Loss: 0.009000 	D(x): 0.959505 	D(G(z)): 0.037020 / 0.005735
Epoch: 13 	Discriminator Loss: 0.000149 	Generator Loss: 0.008169 	D(x): 0.953809 	D(G(z)): 0.039018 / 0.006850
Epoch: 14 	Discriminator Loss: 0.000142 	Generator Loss: 0.009254 	D(x): 0.957251 	D(G(z)): 0.043592 / 0.002574
