Device and Rank:  cuda 0
Device and Rank:  cuda 1
Epoch: 1 	Discriminator Loss: 0.007756 	Generator Loss: 0.094028 	D(x): 0.829607 	D(G(z)): 0.202262 / 0.010403
Epoch: 2 	Discriminator Loss: 0.000786 	Generator Loss: 0.063149 	D(x): 0.955426 	D(G(z)): 0.047490 / 0.000588
Epoch: 3 	Discriminator Loss: 0.000290 	Generator Loss: 0.041553 	D(x): 0.975352 	D(G(z)): 0.024472 / 0.000662
Epoch: 4 	Discriminator Loss: 0.000266 	Generator Loss: 0.037154 	D(x): 0.974242 	D(G(z)): 0.024147 / 0.000961
Epoch: 5 	Discriminator Loss: 0.001772 	Generator Loss: 0.027771 	D(x): 0.846563 	D(G(z)): 0.145500 / 0.009509
Epoch: 6 	Discriminator Loss: 0.000318 	Generator Loss: 0.018036 	D(x): 0.949364 	D(G(z)): 0.054917 / 0.001873
Epoch: 7 	Discriminator Loss: 0.000224 	Generator Loss: 0.020169 	D(x): 0.958850 	D(G(z)): 0.040308 / 0.000784
Epoch: 8 	Discriminator Loss: 0.000231 	Generator Loss: 0.012777 	D(x): 0.948709 	D(G(z)): 0.048423 / 0.003408
Epoch: 9 	Discriminator Loss: 0.000335 	Generator Loss: 0.012731 	D(x): 0.931455 	D(G(z)): 0.064607 / 0.005508
Epoch: 10 	Discriminator Loss: 0.000233 	Generator Loss: 0.013144 	D(x): 0.947152 	D(G(z)): 0.050595 / 0.002697
Epoch: 11 	Discriminator Loss: 0.000168 	Generator Loss: 0.009957 	D(x): 0.950776 	D(G(z)): 0.036265 / 0.004066
Epoch: 12 	Discriminator Loss: 0.000446 	Generator Loss: 0.009228 	D(x): 0.907529 	D(G(z)): 0.085171 / 0.008970
Epoch: 13 	Discriminator Loss: 0.000188 	Generator Loss: 0.007917 	D(x): 0.940060 	D(G(z)): 0.049334 / 0.007004
Epoch: 14 	Discriminator Loss: 0.000131 	Generator Loss: 0.007354 	D(x): 0.950797 	D(G(z)): 0.047296 / 0.004789
Epoch: 15 	Discriminator Loss: 0.000145 	Generator Loss: 0.008242 	D(x): 0.948910 	D(G(z)): 0.048891 / 0.002049
Epoch: 16 	Discriminator Loss: 0.000322 	Generator Loss: 0.006908 	D(x): 0.914984 	D(G(z)): 0.072073 / 0.007819
Epoch: 17 	Discriminator Loss: 0.000093 	Generator Loss: 0.005652 	D(x): 0.958008 	D(G(z)): 0.039557 / 0.004344
Epoch: 18 	Discriminator Loss: 0.000171 	Generator Loss: 0.005752 	D(x): 0.932924 	D(G(z)): 0.065613 / 0.006239
Epoch: 19 	Discriminator Loss: 0.000107 	Generator Loss: 0.005578 	D(x): 0.949512 	D(G(z)): 0.043650 / 0.003546
Epoch: 20 	Discriminator Loss: 0.000086 	Generator Loss: 0.005351 	D(x): 0.956603 	D(G(z)): 0.039483 / 0.004540
Epoch: 21 	Discriminator Loss: 0.000103 	Generator Loss: 0.005491 	D(x): 0.946434 	D(G(z)): 0.048317 / 0.003048
Epoch: 22 	Discriminator Loss: 0.000089 	Generator Loss: 0.004473 	D(x): 0.947971 	D(G(z)): 0.042169 / 0.008523
Epoch: 23 	Discriminator Loss: 0.000165 	Generator Loss: 0.004374 	D(x): 0.916199 	D(G(z)): 0.079914 / 0.012592
Epoch: 24 	Discriminator Loss: 0.000436 	Generator Loss: 0.003422 	D(x): 0.823577 	D(G(z)): 0.179378 / 0.065080
Epoch: 25 	Discriminator Loss: 0.000168 	Generator Loss: 0.002794 	D(x): 0.891376 	D(G(z)): 0.103628 / 0.029657
Epoch: 26 	Discriminator Loss: 0.000286 	Generator Loss: 0.003475 	D(x): 0.861776 	D(G(z)): 0.149393 / 0.030854
Epoch: 27 	Discriminator Loss: 0.000184 	Generator Loss: 0.002600 	D(x): 0.879213 	D(G(z)): 0.113409 / 0.027061
Epoch: 28 	Discriminator Loss: 0.000232 	Generator Loss: 0.002733 	D(x): 0.863810 	D(G(z)): 0.128650 / 0.048389
Epoch: 29 	Discriminator Loss: 0.000251 	Generator Loss: 0.002458 	D(x): 0.848020 	D(G(z)): 0.140791 / 0.036711
Epoch: 30 	Discriminator Loss: 0.000130 	Generator Loss: 0.002998 	D(x): 0.904755 	D(G(z)): 0.097418 / 0.010700
Epoch: 31 	Discriminator Loss: 0.000090 	Generator Loss: 0.002903 	D(x): 0.924994 	D(G(z)): 0.066898 / 0.008883
Epoch: 32 	Discriminator Loss: 0.000055 	Generator Loss: 0.002974 	D(x): 0.948490 	D(G(z)): 0.045775 / 0.005139
Epoch: 33 	Discriminator Loss: 0.000128 	Generator Loss: 0.003409 	D(x): 0.920719 	D(G(z)): 0.079139 / 0.011647
Epoch: 34 	Discriminator Loss: 0.000078 	Generator Loss: 0.002858 	D(x): 0.930390 	D(G(z)): 0.061950 / 0.005493
Epoch: 35 	Discriminator Loss: 0.000059 	Generator Loss: 0.002517 	D(x): 0.945460 	D(G(z)): 0.051514 / 0.009771
Epoch: 36 	Discriminator Loss: 0.000041 	Generator Loss: 0.002375 	D(x): 0.959294 	D(G(z)): 0.042523 / 0.007405
Epoch: 37 	Discriminator Loss: 0.000154 	Generator Loss: 0.002993 	D(x): 0.901774 	D(G(z)): 0.082883 / 0.019407
Epoch: 38 	Discriminator Loss: 0.000134 	Generator Loss: 0.002429 	D(x): 0.904895 	D(G(z)): 0.097723 / 0.033413
Epoch: 39 	Discriminator Loss: 0.000063 	Generator Loss: 0.002123 	D(x): 0.937727 	D(G(z)): 0.068578 / 0.012863
Epoch: 40 	Discriminator Loss: 0.000043 	Generator Loss: 0.002238 	D(x): 0.948874 	D(G(z)): 0.042715 / 0.009197
Epoch: 41 	Discriminator Loss: 0.000099 	Generator Loss: 0.002278 	D(x): 0.927025 	D(G(z)): 0.081415 / 0.021170
Epoch: 42 	Discriminator Loss: 0.000135 	Generator Loss: 0.002451 	D(x): 0.877393 	D(G(z)): 0.105351 / 0.021504
Epoch: 43 	Discriminator Loss: 0.000050 	Generator Loss: 0.001920 	D(x): 0.946177 	D(G(z)): 0.063648 / 0.012568
Epoch: 44 	Discriminator Loss: 0.000064 	Generator Loss: 0.001964 	D(x): 0.934686 	D(G(z)): 0.067385 / 0.013518
Epoch: 45 	Discriminator Loss: 0.000064 	Generator Loss: 0.001846 	D(x): 0.917457 	D(G(z)): 0.061314 / 0.018509
Epoch: 46 	Discriminator Loss: 0.000064 	Generator Loss: 0.001778 	D(x): 0.928950 	D(G(z)): 0.077347 / 0.016632
Epoch: 47 	Discriminator Loss: 0.000072 	Generator Loss: 0.001781 	D(x): 0.919286 	D(G(z)): 0.075734 / 0.018814
Epoch: 48 	Discriminator Loss: 0.000186 	Generator Loss: 0.001907 	D(x): 0.852365 	D(G(z)): 0.140522 / 0.036113
Epoch: 49 	Discriminator Loss: 0.000143 	Generator Loss: 0.001738 	D(x): 0.843165 	D(G(z)): 0.143234 / 0.022162
Epoch: 50 	Discriminator Loss: 0.000094 	Generator Loss: 0.001286 	D(x): 0.882293 	D(G(z)): 0.115463 / 0.039874
Epoch: 51 	Discriminator Loss: 0.000093 	Generator Loss: 0.001457 	D(x): 0.884863 	D(G(z)): 0.112312 / 0.028995
Epoch: 52 	Discriminator Loss: 0.000068 	Generator Loss: 0.001506 	D(x): 0.913062 	D(G(z)): 0.092581 / 0.022290
Epoch: 53 	Discriminator Loss: 0.000133 	Generator Loss: 0.001378 	D(x): 0.865640 	D(G(z)): 0.135267 / 0.048884
Epoch: 54 	Discriminator Loss: 0.000075 	Generator Loss: 0.001411 	D(x): 0.900091 	D(G(z)): 0.102015 / 0.023087
Epoch: 55 	Discriminator Loss: 0.000071 	Generator Loss: 0.001413 	D(x): 0.897192 	D(G(z)): 0.098089 / 0.020613
Epoch: 56 	Discriminator Loss: 0.000095 	Generator Loss: 0.001392 	D(x): 0.884590 	D(G(z)): 0.125154 / 0.032095
Epoch: 57 	Discriminator Loss: 0.000094 	Generator Loss: 0.001319 	D(x): 0.869571 	D(G(z)): 0.109534 / 0.032587
Epoch: 58 	Discriminator Loss: 0.000069 	Generator Loss: 0.001367 	D(x): 0.895154 	D(G(z)): 0.097541 / 0.021574
Epoch: 59 	Discriminator Loss: 0.000068 	Generator Loss: 0.001443 	D(x): 0.902811 	D(G(z)): 0.097242 / 0.020110
Epoch: 60 	Discriminator Loss: 0.000090 	Generator Loss: 0.001253 	D(x): 0.875512 	D(G(z)): 0.114407 / 0.034756
Epoch: 61 	Discriminator Loss: 0.000052 	Generator Loss: 0.001169 	D(x): 0.917280 	D(G(z)): 0.087631 / 0.021511
Epoch: 62 	Discriminator Loss: 0.000049 	Generator Loss: 0.001164 	D(x): 0.919141 	D(G(z)): 0.083834 / 0.023851
Epoch: 63 	Discriminator Loss: 0.000096 	Generator Loss: 0.001207 	D(x): 0.874069 	D(G(z)): 0.124678 / 0.047943
Epoch: 64 	Discriminator Loss: 0.000055 	Generator Loss: 0.001351 	D(x): 0.913752 	D(G(z)): 0.088865 / 0.015668
Epoch: 65 	Discriminator Loss: 0.000069 	Generator Loss: 0.001200 	D(x): 0.896445 	D(G(z)): 0.091085 / 0.025592
Epoch: 66 	Discriminator Loss: 0.000083 	Generator Loss: 0.001241 	D(x): 0.879131 	D(G(z)): 0.128651 / 0.030563
Epoch: 67 	Discriminator Loss: 0.000079 	Generator Loss: 0.001167 	D(x): 0.883192 	D(G(z)): 0.118828 / 0.035696
Epoch: 68 	Discriminator Loss: 0.000077 	Generator Loss: 0.001036 	D(x): 0.877910 	D(G(z)): 0.118488 / 0.037716
Epoch: 69 	Discriminator Loss: 0.000067 	Generator Loss: 0.000989 	D(x): 0.879567 	D(G(z)): 0.110486 / 0.036193
Epoch: 70 	Discriminator Loss: 0.000094 	Generator Loss: 0.001017 	D(x): 0.888475 	D(G(z)): 0.117201 / 0.053507
Epoch: 71 	Discriminator Loss: 0.000077 	Generator Loss: 0.000939 	D(x): 0.869467 	D(G(z)): 0.133954 / 0.043311
Epoch: 72 	Discriminator Loss: 0.000061 	Generator Loss: 0.000949 	D(x): 0.886323 	D(G(z)): 0.109148 / 0.036851
Epoch: 73 	Discriminator Loss: 0.000056 	Generator Loss: 0.000891 	D(x): 0.897475 	D(G(z)): 0.101739 / 0.035296
Epoch: 74 	Discriminator Loss: 0.000109 	Generator Loss: 0.000984 	D(x): 0.839322 	D(G(z)): 0.150720 / 0.071120
Epoch: 75 	Discriminator Loss: 0.000058 	Generator Loss: 0.000863 	D(x): 0.886565 	D(G(z)): 0.110412 / 0.038253
Epoch: 76 	Discriminator Loss: 0.000057 	Generator Loss: 0.000876 	D(x): 0.890789 	D(G(z)): 0.115765 / 0.037052
Epoch: 77 	Discriminator Loss: 0.000051 	Generator Loss: 0.000830 	D(x): 0.894204 	D(G(z)): 0.103404 / 0.036995
Epoch: 78 	Discriminator Loss: 0.000076 	Generator Loss: 0.000879 	D(x): 0.871073 	D(G(z)): 0.135956 / 0.043763
Epoch: 79 	Discriminator Loss: 0.000062 	Generator Loss: 0.000863 	D(x): 0.875157 	D(G(z)): 0.116170 / 0.038805
Epoch: 80 	Discriminator Loss: 0.000055 	Generator Loss: 0.000804 	D(x): 0.889818 	D(G(z)): 0.112317 / 0.041087
Epoch: 81 	Discriminator Loss: 0.000060 	Generator Loss: 0.000842 	D(x): 0.875326 	D(G(z)): 0.114229 / 0.041988
Epoch: 82 	Discriminator Loss: 0.000041 	Generator Loss: 0.000808 	D(x): 0.908612 	D(G(z)): 0.093188 / 0.032377
Epoch: 83 	Discriminator Loss: 0.000146 	Generator Loss: 0.000828 	D(x): 0.809349 	D(G(z)): 0.191509 / 0.094056
Epoch: 84 	Discriminator Loss: 0.000090 	Generator Loss: 0.000785 	D(x): 0.844484 	D(G(z)): 0.147174 / 0.069272
Epoch: 85 	Discriminator Loss: 0.000040 	Generator Loss: 0.000758 	D(x): 0.908170 	D(G(z)): 0.094590 / 0.034171
Epoch: 86 	Discriminator Loss: 0.000041 	Generator Loss: 0.000799 	D(x): 0.902978 	D(G(z)): 0.092777 / 0.027037
Epoch: 87 	Discriminator Loss: 0.000031 	Generator Loss: 0.000841 	D(x): 0.920966 	D(G(z)): 0.071491 / 0.021183
Epoch: 88 	Discriminator Loss: 0.000033 	Generator Loss: 0.000792 	D(x): 0.919397 	D(G(z)): 0.079702 / 0.026146
Epoch: 89 	Discriminator Loss: 0.000038 	Generator Loss: 0.000781 	D(x): 0.904574 	D(G(z)): 0.085867 / 0.029090
Epoch: 90 	Discriminator Loss: 0.000075 	Generator Loss: 0.000785 	D(x): 0.870473 	D(G(z)): 0.129464 / 0.062175
Epoch: 91 	Discriminator Loss: 0.000070 	Generator Loss: 0.000783 	D(x): 0.855476 	D(G(z)): 0.128740 / 0.044810
Epoch: 92 	Discriminator Loss: 0.000035 	Generator Loss: 0.000682 	D(x): 0.910361 	D(G(z)): 0.083175 / 0.036639
Epoch: 93 	Discriminator Loss: 0.000033 	Generator Loss: 0.000652 	D(x): 0.915724 	D(G(z)): 0.085925 / 0.041405
Epoch: 94 	Discriminator Loss: 0.000032 	Generator Loss: 0.000697 	D(x): 0.918005 	D(G(z)): 0.084681 / 0.033783
Epoch: 95 	Discriminator Loss: 0.000084 	Generator Loss: 0.000750 	D(x): 0.844939 	D(G(z)): 0.143804 / 0.071770
Epoch: 96 	Discriminator Loss: 0.000038 	Generator Loss: 0.000723 	D(x): 0.905775 	D(G(z)): 0.089062 / 0.028339
Epoch: 97 	Discriminator Loss: 0.000035 	Generator Loss: 0.000700 	D(x): 0.909259 	D(G(z)): 0.088211 / 0.028892
Epoch: 98 	Discriminator Loss: 0.000026 	Generator Loss: 0.000703 	D(x): 0.927954 	D(G(z)): 0.072033 / 0.027170
Epoch: 99 	Discriminator Loss: 0.000077 	Generator Loss: 0.000758 	D(x): 0.903483 	D(G(z)): 0.105281 / 0.044827
Epoch: 100 	Discriminator Loss: 0.000084 	Generator Loss: 0.000742 	D(x): 0.832485 	D(G(z)): 0.164975 / 0.058580
Epoch: 101 	Discriminator Loss: 0.000046 	Generator Loss: 0.000733 	D(x): 0.889996 	D(G(z)): 0.111355 / 0.040937
Epoch: 102 	Discriminator Loss: 0.000032 	Generator Loss: 0.000659 	D(x): 0.915410 	D(G(z)): 0.092433 / 0.035665
Epoch: 103 	Discriminator Loss: 0.000024 	Generator Loss: 0.000622 	D(x): 0.928132 	D(G(z)): 0.069802 / 0.031356
Epoch: 104 	Discriminator Loss: 0.000025 	Generator Loss: 0.000642 	D(x): 0.929664 	D(G(z)): 0.073274 / 0.028492
Epoch: 105 	Discriminator Loss: 0.000023 	Generator Loss: 0.000663 	D(x): 0.933663 	D(G(z)): 0.066806 / 0.041262
Epoch: 106 	Discriminator Loss: 0.000074 	Generator Loss: 0.000692 	D(x): 0.861162 	D(G(z)): 0.137766 / 0.051278
Epoch: 107 	Discriminator Loss: 0.000023 	Generator Loss: 0.000618 	D(x): 0.928003 	D(G(z)): 0.070295 / 0.029058
Epoch: 108 	Discriminator Loss: 0.000024 	Generator Loss: 0.000604 	D(x): 0.925624 	D(G(z)): 0.070464 / 0.031134
Epoch: 109 	Discriminator Loss: 0.000030 	Generator Loss: 0.000680 	D(x): 0.922807 	D(G(z)): 0.082718 / 0.026937
Epoch: 110 	Discriminator Loss: 0.000022 	Generator Loss: 0.000645 	D(x): 0.930607 	D(G(z)): 0.063120 / 0.026298
Epoch: 111 	Discriminator Loss: 0.000023 	Generator Loss: 0.000644 	D(x): 0.932989 	D(G(z)): 0.071794 / 0.024851
Epoch: 112 	Discriminator Loss: 0.000019 	Generator Loss: 0.000657 	D(x): 0.939593 	D(G(z)): 0.059327 / 0.021780
Epoch: 113 	Discriminator Loss: 0.000109 	Generator Loss: 0.000669 	D(x): 0.831222 	D(G(z)): 0.172817 / 0.084332
Epoch: 114 	Discriminator Loss: 0.000052 	Generator Loss: 0.000650 	D(x): 0.864083 	D(G(z)): 0.129028 / 0.041995
Epoch: 115 	Discriminator Loss: 0.000025 	Generator Loss: 0.000598 	D(x): 0.921695 	D(G(z)): 0.078118 / 0.027999
Epoch: 116 	Discriminator Loss: 0.000024 	Generator Loss: 0.000614 	D(x): 0.927245 	D(G(z)): 0.073601 / 0.028186
Epoch: 117 	Discriminator Loss: 0.000023 	Generator Loss: 0.000580 	D(x): 0.923038 	D(G(z)): 0.066169 / 0.031925
Epoch: 118 	Discriminator Loss: 0.000016 	Generator Loss: 0.000589 	D(x): 0.944085 	D(G(z)): 0.054287 / 0.023914
Epoch: 119 	Discriminator Loss: 0.000025 	Generator Loss: 0.000625 	D(x): 0.920666 	D(G(z)): 0.075804 / 0.030475
Epoch: 120 	Discriminator Loss: 0.000019 	Generator Loss: 0.000595 	D(x): 0.942262 	D(G(z)): 0.067628 / 0.026173
Epoch: 121 	Discriminator Loss: 0.000025 	Generator Loss: 0.000625 	D(x): 0.930093 	D(G(z)): 0.081469 / 0.034130
Epoch: 122 	Discriminator Loss: 0.000020 	Generator Loss: 0.000638 	D(x): 0.932349 	D(G(z)): 0.060498 / 0.019904
Epoch: 123 	Discriminator Loss: 0.000034 	Generator Loss: 0.000662 	D(x): 0.913572 	D(G(z)): 0.087997 / 0.037523
Epoch: 124 	Discriminator Loss: 0.000064 	Generator Loss: 0.000641 	D(x): 0.863776 	D(G(z)): 0.135519 / 0.056121
