Device and Rank:  cuda 1
Device and Rank:  cuda 0
Epoch: 1 	Discriminator Loss: 0.006433 	Generator Loss: 0.099228 	D(x): 0.850195 	D(G(z)): 0.172180 / 0.007201
Epoch: 2 	Discriminator Loss: 0.000701 	Generator Loss: 0.069599 	D(x): 0.961068 	D(G(z)): 0.043824 / 0.000318
Epoch: 3 	Discriminator Loss: 0.000267 	Generator Loss: 0.053322 	D(x): 0.978020 	D(G(z)): 0.024448 / 0.000319
Epoch: 4 	Discriminator Loss: 0.000203 	Generator Loss: 0.055942 	D(x): 0.978647 	D(G(z)): 0.022155 / 0.000308
Epoch: 5 	Discriminator Loss: 0.000108 	Generator Loss: 0.027483 	D(x): 0.986593 	D(G(z)): 0.016202 / 0.000543
Epoch: 6 	Discriminator Loss: 0.000220 	Generator Loss: 0.022520 	D(x): 0.969741 	D(G(z)): 0.020659 / 0.002084
Epoch: 7 	Discriminator Loss: 0.000987 	Generator Loss: 0.018166 	D(x): 0.880983 	D(G(z)): 0.113447 / 0.011892
Epoch: 8 	Discriminator Loss: 0.000396 	Generator Loss: 0.013504 	D(x): 0.923229 	D(G(z)): 0.074791 / 0.006405
Epoch: 9 	Discriminator Loss: 0.000218 	Generator Loss: 0.015115 	D(x): 0.952744 	D(G(z)): 0.047170 / 0.001320
Epoch: 10 	Discriminator Loss: 0.000200 	Generator Loss: 0.012979 	D(x): 0.954188 	D(G(z)): 0.040036 / 0.001584
Epoch: 11 	Discriminator Loss: 0.000137 	Generator Loss: 0.010605 	D(x): 0.960979 	D(G(z)): 0.034708 / 0.003597
Epoch: 12 	Discriminator Loss: 0.000154 	Generator Loss: 0.010126 	D(x): 0.957550 	D(G(z)): 0.039698 / 0.003132
Epoch: 13 	Discriminator Loss: 0.000103 	Generator Loss: 0.007807 	D(x): 0.966432 	D(G(z)): 0.035702 / 0.004254
Epoch: 14 	Discriminator Loss: 0.000789 	Generator Loss: 0.006510 	D(x): 0.841254 	D(G(z)): 0.156407 / 0.041751
Epoch: 15 	Discriminator Loss: 0.000414 	Generator Loss: 0.004979 	D(x): 0.856136 	D(G(z)): 0.134958 / 0.026201
Epoch: 16 	Discriminator Loss: 0.000368 	Generator Loss: 0.004709 	D(x): 0.880605 	D(G(z)): 0.112682 / 0.044077
Epoch: 17 	Discriminator Loss: 0.000286 	Generator Loss: 0.004516 	D(x): 0.896815 	D(G(z)): 0.114217 / 0.027289
Epoch: 18 	Discriminator Loss: 0.000414 	Generator Loss: 0.004171 	D(x): 0.856033 	D(G(z)): 0.126064 / 0.043958
Epoch: 19 	Discriminator Loss: 0.000206 	Generator Loss: 0.004348 	D(x): 0.909120 	D(G(z)): 0.105159 / 0.015153
Epoch: 20 	Discriminator Loss: 0.000435 	Generator Loss: 0.005414 	D(x): 0.867763 	D(G(z)): 0.123970 / 0.030175
Epoch: 21 	Discriminator Loss: 0.000142 	Generator Loss: 0.004244 	D(x): 0.918211 	D(G(z)): 0.074936 / 0.009457
Epoch: 22 	Discriminator Loss: 0.000130 	Generator Loss: 0.004913 	D(x): 0.935930 	D(G(z)): 0.072923 / 0.004075
Epoch: 23 	Discriminator Loss: 0.000160 	Generator Loss: 0.004934 	D(x): 0.908466 	D(G(z)): 0.081149 / 0.004722
Epoch: 24 	Discriminator Loss: 0.000314 	Generator Loss: 0.002862 	D(x): 0.866209 	D(G(z)): 0.134733 / 0.060935
Epoch: 25 	Discriminator Loss: 0.000204 	Generator Loss: 0.002523 	D(x): 0.876667 	D(G(z)): 0.117090 / 0.037745
Epoch: 26 	Discriminator Loss: 0.000125 	Generator Loss: 0.002958 	D(x): 0.914083 	D(G(z)): 0.087012 / 0.014729
Epoch: 27 	Discriminator Loss: 0.000091 	Generator Loss: 0.003130 	D(x): 0.930922 	D(G(z)): 0.063200 / 0.008649
Epoch: 28 	Discriminator Loss: 0.000091 	Generator Loss: 0.003364 	D(x): 0.934232 	D(G(z)): 0.062812 / 0.009233
Epoch: 29 	Discriminator Loss: 0.000190 	Generator Loss: 0.003716 	D(x): 0.904853 	D(G(z)): 0.093028 / 0.010117
Epoch: 30 	Discriminator Loss: 0.000083 	Generator Loss: 0.002750 	D(x): 0.930827 	D(G(z)): 0.064870 / 0.010967
Epoch: 31 	Discriminator Loss: 0.000134 	Generator Loss: 0.002697 	D(x): 0.903861 	D(G(z)): 0.091917 / 0.023613
Epoch: 32 	Discriminator Loss: 0.000153 	Generator Loss: 0.002514 	D(x): 0.884935 	D(G(z)): 0.109080 / 0.027155
Epoch: 33 	Discriminator Loss: 0.000120 	Generator Loss: 0.002492 	D(x): 0.901180 	D(G(z)): 0.085538 / 0.022005
Epoch: 34 	Discriminator Loss: 0.000108 	Generator Loss: 0.002402 	D(x): 0.904229 	D(G(z)): 0.090097 / 0.018286
Epoch: 35 	Discriminator Loss: 0.000094 	Generator Loss: 0.002358 	D(x): 0.919990 	D(G(z)): 0.087920 / 0.016009
Epoch: 36 	Discriminator Loss: 0.000275 	Generator Loss: 0.002253 	D(x): 0.822600 	D(G(z)): 0.173571 / 0.059503
Epoch: 37 	Discriminator Loss: 0.000119 	Generator Loss: 0.001824 	D(x): 0.879730 	D(G(z)): 0.107975 / 0.030050
Epoch: 38 	Discriminator Loss: 0.000135 	Generator Loss: 0.002020 	D(x): 0.876322 	D(G(z)): 0.123893 / 0.031305
Epoch: 39 	Discriminator Loss: 0.000213 	Generator Loss: 0.002106 	D(x): 0.835720 	D(G(z)): 0.141296 / 0.054062
Epoch: 40 	Discriminator Loss: 0.000145 	Generator Loss: 0.001948 	D(x): 0.857403 	D(G(z)): 0.126211 / 0.029957
Epoch: 41 	Discriminator Loss: 0.000119 	Generator Loss: 0.001758 	D(x): 0.875534 	D(G(z)): 0.117959 / 0.034695
Epoch: 42 	Discriminator Loss: 0.000265 	Generator Loss: 0.001919 	D(x): 0.806729 	D(G(z)): 0.186203 / 0.063366
Epoch: 43 	Discriminator Loss: 0.000106 	Generator Loss: 0.001585 	D(x): 0.879700 	D(G(z)): 0.111719 / 0.032393
Epoch: 44 	Discriminator Loss: 0.000130 	Generator Loss: 0.001575 	D(x): 0.859537 	D(G(z)): 0.134177 / 0.032130
Epoch: 45 	Discriminator Loss: 0.000138 	Generator Loss: 0.001545 	D(x): 0.852856 	D(G(z)): 0.140715 / 0.040720
Epoch: 46 	Discriminator Loss: 0.000123 	Generator Loss: 0.001477 	D(x): 0.861476 	D(G(z)): 0.132461 / 0.035012
Epoch: 47 	Discriminator Loss: 0.000115 	Generator Loss: 0.001505 	D(x): 0.867438 	D(G(z)): 0.123718 / 0.035115
Epoch: 48 	Discriminator Loss: 0.000087 	Generator Loss: 0.001332 	D(x): 0.889830 	D(G(z)): 0.106516 / 0.036546
Epoch: 49 	Discriminator Loss: 0.000129 	Generator Loss: 0.001417 	D(x): 0.857494 	D(G(z)): 0.131260 / 0.057694
Epoch: 50 	Discriminator Loss: 0.000111 	Generator Loss: 0.001433 	D(x): 0.868460 	D(G(z)): 0.126633 / 0.036551
Epoch: 51 	Discriminator Loss: 0.000128 	Generator Loss: 0.001398 	D(x): 0.864042 	D(G(z)): 0.130425 / 0.047698
Epoch: 52 	Discriminator Loss: 0.000143 	Generator Loss: 0.001372 	D(x): 0.851393 	D(G(z)): 0.153477 / 0.037386
Epoch: 53 	Discriminator Loss: 0.000096 	Generator Loss: 0.001342 	D(x): 0.877181 	D(G(z)): 0.121692 / 0.031174
Epoch: 54 	Discriminator Loss: 0.000081 	Generator Loss: 0.001303 	D(x): 0.887777 	D(G(z)): 0.109509 / 0.025670
Epoch: 55 	Discriminator Loss: 0.000075 	Generator Loss: 0.001225 	D(x): 0.894475 	D(G(z)): 0.102512 / 0.031634
Epoch: 56 	Discriminator Loss: 0.000074 	Generator Loss: 0.001140 	D(x): 0.887217 	D(G(z)): 0.101823 / 0.037968
Epoch: 57 	Discriminator Loss: 0.000120 	Generator Loss: 0.001290 	D(x): 0.862929 	D(G(z)): 0.152598 / 0.047153
Epoch: 58 	Discriminator Loss: 0.000085 	Generator Loss: 0.001184 	D(x): 0.874222 	D(G(z)): 0.116055 / 0.036307
Epoch: 59 	Discriminator Loss: 0.000145 	Generator Loss: 0.001160 	D(x): 0.832671 	D(G(z)): 0.159497 / 0.064708
Epoch: 60 	Discriminator Loss: 0.000086 	Generator Loss: 0.001057 	D(x): 0.869627 	D(G(z)): 0.133382 / 0.041165
Epoch: 61 	Discriminator Loss: 0.000076 	Generator Loss: 0.001061 	D(x): 0.876750 	D(G(z)): 0.118144 / 0.034985
Epoch: 62 	Discriminator Loss: 0.000076 	Generator Loss: 0.001051 	D(x): 0.881709 	D(G(z)): 0.119901 / 0.040345
Epoch: 63 	Discriminator Loss: 0.000118 	Generator Loss: 0.001131 	D(x): 0.857450 	D(G(z)): 0.141191 / 0.058387
Epoch: 64 	Discriminator Loss: 0.000073 	Generator Loss: 0.001019 	D(x): 0.882333 	D(G(z)): 0.118610 / 0.035847
Epoch: 65 	Discriminator Loss: 0.000066 	Generator Loss: 0.001030 	D(x): 0.887584 	D(G(z)): 0.110544 / 0.034112
Epoch: 66 	Discriminator Loss: 0.000073 	Generator Loss: 0.001011 	D(x): 0.878031 	D(G(z)): 0.116034 / 0.041536
Epoch: 67 	Discriminator Loss: 0.000065 	Generator Loss: 0.001023 	D(x): 0.893102 	D(G(z)): 0.115150 / 0.031272
Epoch: 68 	Discriminator Loss: 0.000116 	Generator Loss: 0.001037 	D(x): 0.855557 	D(G(z)): 0.129819 / 0.066160
Epoch: 69 	Discriminator Loss: 0.000089 	Generator Loss: 0.000997 	D(x): 0.863056 	D(G(z)): 0.144392 / 0.041107
Epoch: 70 	Discriminator Loss: 0.000054 	Generator Loss: 0.000924 	D(x): 0.896647 	D(G(z)): 0.097923 / 0.033958
Epoch: 71 	Discriminator Loss: 0.000073 	Generator Loss: 0.000957 	D(x): 0.877633 	D(G(z)): 0.119017 / 0.051456
Epoch: 72 	Discriminator Loss: 0.000052 	Generator Loss: 0.000902 	D(x): 0.901642 	D(G(z)): 0.100478 / 0.032129
Epoch: 73 	Discriminator Loss: 0.000061 	Generator Loss: 0.000900 	D(x): 0.888296 	D(G(z)): 0.108993 / 0.040331
Epoch: 74 	Discriminator Loss: 0.000092 	Generator Loss: 0.000980 	D(x): 0.853393 	D(G(z)): 0.132875 / 0.052838
Epoch: 75 	Discriminator Loss: 0.000051 	Generator Loss: 0.000890 	D(x): 0.897214 	D(G(z)): 0.097105 / 0.033771
Epoch: 76 	Discriminator Loss: 0.000054 	Generator Loss: 0.000855 	D(x): 0.891579 	D(G(z)): 0.101870 / 0.041194
Epoch: 77 	Discriminator Loss: 0.000043 	Generator Loss: 0.000876 	D(x): 0.913106 	D(G(z)): 0.091082 / 0.027716
Epoch: 78 	Discriminator Loss: 0.000055 	Generator Loss: 0.000884 	D(x): 0.890492 	D(G(z)): 0.102040 / 0.035164
Epoch: 79 	Discriminator Loss: 0.000134 	Generator Loss: 0.000908 	D(x): 0.808872 	D(G(z)): 0.188486 / 0.085537
Epoch: 80 	Discriminator Loss: 0.000051 	Generator Loss: 0.000803 	D(x): 0.890788 	D(G(z)): 0.105765 / 0.034168
Epoch: 81 	Discriminator Loss: 0.000040 	Generator Loss: 0.000792 	D(x): 0.911377 	D(G(z)): 0.082539 / 0.032874
Epoch: 82 	Discriminator Loss: 0.000038 	Generator Loss: 0.000799 	D(x): 0.913044 	D(G(z)): 0.083732 / 0.030494
Epoch: 83 	Discriminator Loss: 0.000122 	Generator Loss: 0.000953 	D(x): 0.843578 	D(G(z)): 0.169000 / 0.063100
Epoch: 84 	Discriminator Loss: 0.000042 	Generator Loss: 0.000752 	D(x): 0.902690 	D(G(z)): 0.092241 / 0.033090
Epoch: 85 	Discriminator Loss: 0.000035 	Generator Loss: 0.000751 	D(x): 0.917407 	D(G(z)): 0.081960 / 0.032674
