Device and Rank:  cuda 1
Device and Rank:  cuda 0
Epoch: 1 	Discriminator Loss: 0.001689 	Generator Loss: 0.115438 	D(x): 0.972127 	D(G(z)): 0.055796 / 0.005150
Epoch: 2 	Discriminator Loss: 0.004190 	Generator Loss: 0.116223 	D(x): 0.928207 	D(G(z)): 0.087431 / 0.000662
Epoch: 3 	Discriminator Loss: 0.002115 	Generator Loss: 0.041488 	D(x): 0.879854 	D(G(z)): 0.118361 / 0.008721
Epoch: 4 	Discriminator Loss: 0.001770 	Generator Loss: 0.020282 	D(x): 0.855435 	D(G(z)): 0.137007 / 0.035394
Epoch: 5 	Discriminator Loss: 0.001491 	Generator Loss: 0.016793 	D(x): 0.845791 	D(G(z)): 0.147974 / 0.028196
Epoch: 6 	Discriminator Loss: 0.001057 	Generator Loss: 0.014744 	D(x): 0.860538 	D(G(z)): 0.139399 / 0.017703
Epoch: 7 	Discriminator Loss: 0.000768 	Generator Loss: 0.011097 	D(x): 0.871595 	D(G(z)): 0.126084 / 0.023306
Epoch: 8 	Discriminator Loss: 0.000619 	Generator Loss: 0.009751 	D(x): 0.881767 	D(G(z)): 0.117627 / 0.021773
Epoch: 9 	Discriminator Loss: 0.000748 	Generator Loss: 0.010141 	D(x): 0.866127 	D(G(z)): 0.131954 / 0.018712
Epoch: 10 	Discriminator Loss: 0.000459 	Generator Loss: 0.008136 	D(x): 0.889342 	D(G(z)): 0.108390 / 0.017929
Epoch: 11 	Discriminator Loss: 0.000455 	Generator Loss: 0.007037 	D(x): 0.882357 	D(G(z)): 0.112725 / 0.025552
Epoch: 12 	Discriminator Loss: 0.000456 	Generator Loss: 0.006591 	D(x): 0.875962 	D(G(z)): 0.121548 / 0.028986
Epoch: 13 	Discriminator Loss: 0.000507 	Generator Loss: 0.006082 	D(x): 0.860839 	D(G(z)): 0.138059 / 0.035284
Epoch: 14 	Discriminator Loss: 0.000388 	Generator Loss: 0.005159 	D(x): 0.872976 	D(G(z)): 0.126915 / 0.031985
Epoch: 15 	Discriminator Loss: 0.000465 	Generator Loss: 0.004681 	D(x): 0.854439 	D(G(z)): 0.135323 / 0.042974
Epoch: 16 	Discriminator Loss: 0.000352 	Generator Loss: 0.004020 	D(x): 0.868588 	D(G(z)): 0.139400 / 0.040262
Epoch: 17 	Discriminator Loss: 0.000340 	Generator Loss: 0.003768 	D(x): 0.862176 	D(G(z)): 0.134486 / 0.048445
Epoch: 18 	Discriminator Loss: 0.000284 	Generator Loss: 0.003461 	D(x): 0.872916 	D(G(z)): 0.124907 / 0.049609
Epoch: 19 	Discriminator Loss: 0.000402 	Generator Loss: 0.003319 	D(x): 0.847333 	D(G(z)): 0.149156 / 0.067416
Epoch: 20 	Discriminator Loss: 0.000230 	Generator Loss: 0.002760 	D(x): 0.877649 	D(G(z)): 0.117318 / 0.058949
Epoch: 21 	Discriminator Loss: 0.000370 	Generator Loss: 0.002795 	D(x): 0.847955 	D(G(z)): 0.152270 / 0.071807
Epoch: 22 	Discriminator Loss: 0.000263 	Generator Loss: 0.002587 	D(x): 0.864577 	D(G(z)): 0.136853 / 0.065760
Epoch: 23 	Discriminator Loss: 0.000279 	Generator Loss: 0.002434 	D(x): 0.857233 	D(G(z)): 0.145636 / 0.083108
Epoch: 24 	Discriminator Loss: 0.000187 	Generator Loss: 0.002236 	D(x): 0.880309 	D(G(z)): 0.118036 / 0.057543
Epoch: 25 	Discriminator Loss: 0.000338 	Generator Loss: 0.002358 	D(x): 0.832421 	D(G(z)): 0.166429 / 0.088314
Epoch: 26 	Discriminator Loss: 0.000152 	Generator Loss: 0.002003 	D(x): 0.890717 	D(G(z)): 0.108301 / 0.058138
Epoch: 27 	Discriminator Loss: 0.000299 	Generator Loss: 0.002091 	D(x): 0.840129 	D(G(z)): 0.158567 / 0.085200
Epoch: 28 	Discriminator Loss: 0.000169 	Generator Loss: 0.001817 	D(x): 0.875282 	D(G(z)): 0.123191 / 0.073429
Epoch: 29 	Discriminator Loss: 0.000184 	Generator Loss: 0.001874 	D(x): 0.866216 	D(G(z)): 0.130673 / 0.074099
Epoch: 30 	Discriminator Loss: 0.000317 	Generator Loss: 0.001788 	D(x): 0.826583 	D(G(z)): 0.170583 / 0.108573
Epoch: 31 	Discriminator Loss: 0.000136 	Generator Loss: 0.001630 	D(x): 0.884554 	D(G(z)): 0.115623 / 0.066351
Epoch: 32 	Discriminator Loss: 0.000146 	Generator Loss: 0.001625 	D(x): 0.875270 	D(G(z)): 0.121911 / 0.073050
Epoch: 33 	Discriminator Loss: 0.000371 	Generator Loss: 0.001686 	D(x): 0.791965 	D(G(z)): 0.202584 / 0.112530
Epoch: 34 	Discriminator Loss: 0.000126 	Generator Loss: 0.001430 	D(x): 0.882687 	D(G(z)): 0.117157 / 0.072704
Epoch: 35 	Discriminator Loss: 0.000264 	Generator Loss: 0.001464 	D(x): 0.834530 	D(G(z)): 0.165286 / 0.109989
Epoch: 36 	Discriminator Loss: 0.000131 	Generator Loss: 0.001316 	D(x): 0.871401 	D(G(z)): 0.128528 / 0.075604
Epoch: 37 	Discriminator Loss: 0.000238 	Generator Loss: 0.001348 	D(x): 0.846749 	D(G(z)): 0.155111 / 0.116096
Epoch: 38 	Discriminator Loss: 0.000147 	Generator Loss: 0.001275 	D(x): 0.853148 	D(G(z)): 0.141596 / 0.079015
Epoch: 39 	Discriminator Loss: 0.000194 	Generator Loss: 0.001242 	D(x): 0.849842 	D(G(z)): 0.144062 / 0.105027
