Device and Rank:  cuda 0
Device and Rank:  cuda 1
Epoch: 1 	Discriminator Loss: 0.001393 	Generator Loss: 0.126805 	D(x): 0.977020 	D(G(z)): 0.045257 / 0.003068
Epoch: 2 	Discriminator Loss: 0.000989 	Generator Loss: 0.213671 	D(x): 0.973324 	D(G(z)): 0.029562 / 0.000190
Epoch: 3 	Discriminator Loss: 0.001791 	Generator Loss: 0.111535 	D(x): 0.929643 	D(G(z)): 0.080016 / 0.000535
Epoch: 4 	Discriminator Loss: 0.001700 	Generator Loss: 0.028125 	D(x): 0.872740 	D(G(z)): 0.119790 / 0.010476
Epoch: 5 	Discriminator Loss: 0.001231 	Generator Loss: 0.020085 	D(x): 0.869556 	D(G(z)): 0.125863 / 0.011590
Epoch: 6 	Discriminator Loss: 0.001211 	Generator Loss: 0.016415 	D(x): 0.860561 	D(G(z)): 0.137107 / 0.014776
Epoch: 7 	Discriminator Loss: 0.000761 	Generator Loss: 0.012705 	D(x): 0.878747 	D(G(z)): 0.121669 / 0.011680
Epoch: 8 	Discriminator Loss: 0.000619 	Generator Loss: 0.010825 	D(x): 0.884931 	D(G(z)): 0.107100 / 0.014798
Epoch: 9 	Discriminator Loss: 0.000669 	Generator Loss: 0.009983 	D(x): 0.876104 	D(G(z)): 0.123771 / 0.020569
Epoch: 10 	Discriminator Loss: 0.000485 	Generator Loss: 0.008376 	D(x): 0.886507 	D(G(z)): 0.112590 / 0.018202
Epoch: 11 	Discriminator Loss: 0.000409 	Generator Loss: 0.007179 	D(x): 0.891500 	D(G(z)): 0.107851 / 0.020162
Epoch: 12 	Discriminator Loss: 0.000540 	Generator Loss: 0.007258 	D(x): 0.869832 	D(G(z)): 0.130637 / 0.023637
Epoch: 13 	Discriminator Loss: 0.000381 	Generator Loss: 0.005898 	D(x): 0.880990 	D(G(z)): 0.116653 / 0.024545
Epoch: 14 	Discriminator Loss: 0.000514 	Generator Loss: 0.005753 	D(x): 0.855361 	D(G(z)): 0.144702 / 0.031846
Epoch: 15 	Discriminator Loss: 0.000341 	Generator Loss: 0.004591 	D(x): 0.875809 	D(G(z)): 0.126433 / 0.032747
Epoch: 16 	Discriminator Loss: 0.000329 	Generator Loss: 0.004202 	D(x): 0.871960 	D(G(z)): 0.126412 / 0.039697
Epoch: 17 	Discriminator Loss: 0.000394 	Generator Loss: 0.003963 	D(x): 0.858138 	D(G(z)): 0.135980 / 0.045811
Epoch: 18 	Discriminator Loss: 0.000380 	Generator Loss: 0.003500 	D(x): 0.868503 	D(G(z)): 0.135523 / 0.059997
Epoch: 19 	Discriminator Loss: 0.000305 	Generator Loss: 0.003180 	D(x): 0.864192 	D(G(z)): 0.133896 / 0.046967
Epoch: 20 	Discriminator Loss: 0.000248 	Generator Loss: 0.002891 	D(x): 0.874021 	D(G(z)): 0.124179 / 0.055639
Epoch: 21 	Discriminator Loss: 0.000340 	Generator Loss: 0.002865 	D(x): 0.852159 	D(G(z)): 0.149216 / 0.073377
Epoch: 22 	Discriminator Loss: 0.000216 	Generator Loss: 0.002577 	D(x): 0.876071 	D(G(z)): 0.120291 / 0.058737
Epoch: 23 	Discriminator Loss: 0.000271 	Generator Loss: 0.002559 	D(x): 0.858384 	D(G(z)): 0.139564 / 0.069089
Epoch: 24 	Discriminator Loss: 0.000225 	Generator Loss: 0.002342 	D(x): 0.869253 	D(G(z)): 0.131701 / 0.065254
Epoch: 25 	Discriminator Loss: 0.000277 	Generator Loss: 0.002256 	D(x): 0.851518 	D(G(z)): 0.148374 / 0.077691
Epoch: 26 	Discriminator Loss: 0.000220 	Generator Loss: 0.002109 	D(x): 0.868189 	D(G(z)): 0.131239 / 0.077188
Epoch: 27 	Discriminator Loss: 0.000255 	Generator Loss: 0.002031 	D(x): 0.855327 	D(G(z)): 0.142270 / 0.070650
Epoch: 28 	Discriminator Loss: 0.000255 	Generator Loss: 0.001931 	D(x): 0.862475 	D(G(z)): 0.134769 / 0.084939
Epoch: 29 	Discriminator Loss: 0.000186 	Generator Loss: 0.001811 	D(x): 0.864131 	D(G(z)): 0.134487 / 0.064581
Epoch: 30 	Discriminator Loss: 0.000291 	Generator Loss: 0.001809 	D(x): 0.836967 	D(G(z)): 0.162339 / 0.095264
Epoch: 31 	Discriminator Loss: 0.000171 	Generator Loss: 0.001655 	D(x): 0.867487 	D(G(z)): 0.124308 / 0.078376
Epoch: 32 	Discriminator Loss: 0.000227 	Generator Loss: 0.001622 	D(x): 0.848797 	D(G(z)): 0.154427 / 0.076685
Epoch: 33 	Discriminator Loss: 0.000182 	Generator Loss: 0.001558 	D(x): 0.854144 	D(G(z)): 0.143685 / 0.087846
Epoch: 34 	Discriminator Loss: 0.000258 	Generator Loss: 0.001549 	D(x): 0.829496 	D(G(z)): 0.168323 / 0.105373
Epoch: 35 	Discriminator Loss: 0.000136 	Generator Loss: 0.001394 	D(x): 0.872557 	D(G(z)): 0.128831 / 0.075327
Epoch: 36 	Discriminator Loss: 0.000225 	Generator Loss: 0.001420 	D(x): 0.836124 	D(G(z)): 0.164824 / 0.098622
Epoch: 37 	Discriminator Loss: 0.000215 	Generator Loss: 0.001396 	D(x): 0.846803 	D(G(z)): 0.151885 / 0.099548
Epoch: 38 	Discriminator Loss: 0.000162 	Generator Loss: 0.001315 	D(x): 0.849912 	D(G(z)): 0.151399 / 0.076873
