cuda
Epoch: 1 	Discriminator Loss: 0.001622 	Generator Loss: 0.111913 	D(x): 0.973789 	D(G(z)): 0.052017 / 0.004285
Epoch: 2 	Discriminator Loss: 0.000697 	Generator Loss: 0.165845 	D(x): 0.981830 	D(G(z)): 0.019619 / 0.000286
Epoch: 3 	Discriminator Loss: 0.000003 	Generator Loss: 0.212970 	D(x): 0.999609 	D(G(z)): 0.000000 / 0.000000
Epoch: 4 	Discriminator Loss: 0.000000 	Generator Loss: 0.159124 	D(x): 0.999896 	D(G(z)): 0.000000 / 0.000000
Epoch: 5 	Discriminator Loss: 0.000000 	Generator Loss: 0.126805 	D(x): 0.999936 	D(G(z)): 0.000000 / 0.000000
Epoch: 6 	Discriminator Loss: 0.000000 	Generator Loss: 0.105258 	D(x): 0.999955 	D(G(z)): 0.000000 / 0.000000
Epoch: 7 	Discriminator Loss: 0.000000 	Generator Loss: 0.089825 	D(x): 0.999964 	D(G(z)): 0.000000 / 0.000000
Epoch: 8 	Discriminator Loss: 0.000000 	Generator Loss: 0.078141 	D(x): 0.999971 	D(G(z)): 0.000000 / 0.000000
Epoch: 9 	Discriminator Loss: 0.000000 	Generator Loss: 0.068791 	D(x): 0.999978 	D(G(z)): 0.000000 / 0.000000
Epoch: 10 	Discriminator Loss: 0.000642 	Generator Loss: 0.055224 	D(x): 0.977546 	D(G(z)): 0.034564 / 0.000022
Epoch: 11 	Discriminator Loss: 0.001165 	Generator Loss: 0.014728 	D(x): 0.833080 	D(G(z)): 0.181124 / 0.006853
Epoch: 12 	Discriminator Loss: 0.000753 	Generator Loss: 0.007987 	D(x): 0.833015 	D(G(z)): 0.172605 / 0.027589
Epoch: 13 	Discriminator Loss: 0.000950 	Generator Loss: 0.005565 	D(x): 0.759824 	D(G(z)): 0.227438 / 0.044452
Epoch: 14 	Discriminator Loss: 0.000729 	Generator Loss: 0.005591 	D(x): 0.794172 	D(G(z)): 0.207032 / 0.025948
Epoch: 15 	Discriminator Loss: 0.000604 	Generator Loss: 0.005451 	D(x): 0.808778 	D(G(z)): 0.189185 / 0.020129
Epoch: 16 	Discriminator Loss: 0.000523 	Generator Loss: 0.005176 	D(x): 0.822800 	D(G(z)): 0.170497 / 0.023079
Epoch: 17 	Discriminator Loss: 0.000391 	Generator Loss: 0.004519 	D(x): 0.849221 	D(G(z)): 0.147053 / 0.021631
Epoch: 18 	Discriminator Loss: 0.000337 	Generator Loss: 0.004242 	D(x): 0.861805 	D(G(z)): 0.130686 / 0.024564
Epoch: 19 	Discriminator Loss: 0.000319 	Generator Loss: 0.003937 	D(x): 0.863857 	D(G(z)): 0.137001 / 0.028276
Epoch: 20 	Discriminator Loss: 0.000312 	Generator Loss: 0.003853 	D(x): 0.861295 	D(G(z)): 0.138994 / 0.028722
Epoch: 21 	Discriminator Loss: 0.000287 	Generator Loss: 0.003495 	D(x): 0.861658 	D(G(z)): 0.135041 / 0.031028
Epoch: 22 	Discriminator Loss: 0.000262 	Generator Loss: 0.003221 	D(x): 0.866321 	D(G(z)): 0.130921 / 0.033540
Epoch: 23 	Discriminator Loss: 0.000265 	Generator Loss: 0.003086 	D(x): 0.859454 	D(G(z)): 0.137507 / 0.034242
Epoch: 24 	Discriminator Loss: 0.000263 	Generator Loss: 0.002695 	D(x): 0.855055 	D(G(z)): 0.143558 / 0.048644
Epoch: 25 	Discriminator Loss: 0.000262 	Generator Loss: 0.002577 	D(x): 0.848680 	D(G(z)): 0.148582 / 0.050658
Epoch: 26 	Discriminator Loss: 0.000281 	Generator Loss: 0.002635 	D(x): 0.843393 	D(G(z)): 0.155010 / 0.048895
Epoch: 27 	Discriminator Loss: 0.000206 	Generator Loss: 0.002240 	D(x): 0.861523 	D(G(z)): 0.135478 / 0.047322
Epoch: 28 	Discriminator Loss: 0.000224 	Generator Loss: 0.002152 	D(x): 0.854479 	D(G(z)): 0.144160 / 0.062269
Epoch: 29 	Discriminator Loss: 0.000202 	Generator Loss: 0.002071 	D(x): 0.859184 	D(G(z)): 0.138983 / 0.052441
Epoch: 30 	Discriminator Loss: 0.000234 	Generator Loss: 0.001940 	D(x): 0.846272 	D(G(z)): 0.151962 / 0.066715
Epoch: 31 	Discriminator Loss: 0.000177 	Generator Loss: 0.001807 	D(x): 0.863932 	D(G(z)): 0.133798 / 0.062890
Epoch: 32 	Discriminator Loss: 0.000170 	Generator Loss: 0.001799 	D(x): 0.865148 	D(G(z)): 0.134144 / 0.065593
Epoch: 33 	Discriminator Loss: 0.000225 	Generator Loss: 0.001823 	D(x): 0.843981 	D(G(z)): 0.154041 / 0.066700
Epoch: 34 	Discriminator Loss: 0.000168 	Generator Loss: 0.001726 	D(x): 0.863605 	D(G(z)): 0.136489 / 0.063869
Epoch: 35 	Discriminator Loss: 0.000169 	Generator Loss: 0.001669 	D(x): 0.856525 	D(G(z)): 0.140698 / 0.061607
Epoch: 36 	Discriminator Loss: 0.000235 	Generator Loss: 0.001678 	D(x): 0.829205 	D(G(z)): 0.170288 / 0.085135
Epoch: 37 	Discriminator Loss: 0.000127 	Generator Loss: 0.001459 	D(x): 0.876125 	D(G(z)): 0.124022 / 0.057066
Epoch: 38 	Discriminator Loss: 0.000205 	Generator Loss: 0.001531 	D(x): 0.835930 	D(G(z)): 0.162294 / 0.081404
Epoch: 39 	Discriminator Loss: 0.000127 	Generator Loss: 0.001369 	D(x): 0.869311 	D(G(z)): 0.127522 / 0.062063
Epoch: 40 	Discriminator Loss: 0.000181 	Generator Loss: 0.001425 	D(x): 0.840677 	D(G(z)): 0.160352 / 0.081270
Epoch: 41 	Discriminator Loss: 0.000126 	Generator Loss: 0.001314 	D(x): 0.864751 	D(G(z)): 0.130214 / 0.063182
Epoch: 42 	Discriminator Loss: 0.000157 	Generator Loss: 0.001341 	D(x): 0.846032 	D(G(z)): 0.155374 / 0.078323
Epoch: 43 	Discriminator Loss: 0.000122 	Generator Loss: 0.001239 	D(x): 0.865788 	D(G(z)): 0.134100 / 0.072037
Epoch: 44 	Discriminator Loss: 0.000220 	Generator Loss: 0.001263 	D(x): 0.822815 	D(G(z)): 0.178676 / 0.099615
Epoch: 45 	Discriminator Loss: 0.000118 	Generator Loss: 0.001133 	D(x): 0.860221 	D(G(z)): 0.135940 / 0.069437
Epoch: 46 	Discriminator Loss: 0.000198 	Generator Loss: 0.001174 	D(x): 0.819420 	D(G(z)): 0.178344 / 0.105240
Epoch: 47 	Discriminator Loss: 0.000105 	Generator Loss: 0.001051 	D(x): 0.867089 	D(G(z)): 0.131674 / 0.071365
Epoch: 48 	Discriminator Loss: 0.000168 	Generator Loss: 0.001104 	D(x): 0.833171 	D(G(z)): 0.162756 / 0.101498
Epoch: 49 	Discriminator Loss: 0.000118 	Generator Loss: 0.001015 	D(x): 0.855250 	D(G(z)): 0.147840 / 0.075260
Epoch: 50 	Discriminator Loss: 0.000165 	Generator Loss: 0.001050 	D(x): 0.830063 	D(G(z)): 0.167343 / 0.108222
Epoch: 51 	Discriminator Loss: 0.000116 	Generator Loss: 0.000985 	D(x): 0.850604 	D(G(z)): 0.150620 / 0.080656
Epoch: 52 	Discriminator Loss: 0.000127 	Generator Loss: 0.000967 	D(x): 0.845973 	D(G(z)): 0.153292 / 0.091407
Epoch: 53 	Discriminator Loss: 0.000093 	Generator Loss: 0.000931 	D(x): 0.867701 	D(G(z)): 0.131377 / 0.078947
Epoch: 54 	Discriminator Loss: 0.000162 	Generator Loss: 0.000970 	D(x): 0.822079 	D(G(z)): 0.176766 / 0.109069
Epoch: 55 	Discriminator Loss: 0.000096 	Generator Loss: 0.000899 	D(x): 0.865859 	D(G(z)): 0.137923 / 0.083047
Epoch: 56 	Discriminator Loss: 0.000154 	Generator Loss: 0.000876 	D(x): 0.824596 	D(G(z)): 0.171112 / 0.104369
