cuda
Epoch: 1 	Discriminator Loss: 0.007460 	Generator Loss: 0.083834 	D(x): 0.832791 	D(G(z)): 0.193278 / 0.013549
Epoch: 2 	Discriminator Loss: 0.000801 	Generator Loss: 0.060462 	D(x): 0.955502 	D(G(z)): 0.048977 / 0.000710
Epoch: 3 	Discriminator Loss: 0.000624 	Generator Loss: 0.064180 	D(x): 0.956138 	D(G(z)): 0.047179 / 0.000810
Epoch: 4 	Discriminator Loss: 0.000307 	Generator Loss: 0.036788 	D(x): 0.966287 	D(G(z)): 0.029585 / 0.001139
Epoch: 5 	Discriminator Loss: 0.001154 	Generator Loss: 0.022721 	D(x): 0.888830 	D(G(z)): 0.104249 / 0.018757
Epoch: 6 	Discriminator Loss: 0.001128 	Generator Loss: 0.015597 	D(x): 0.855918 	D(G(z)): 0.140748 / 0.016363
Epoch: 7 	Discriminator Loss: 0.000435 	Generator Loss: 0.018193 	D(x): 0.923426 	D(G(z)): 0.069652 / 0.003010
Epoch: 8 	Discriminator Loss: 0.000223 	Generator Loss: 0.013208 	D(x): 0.955671 	D(G(z)): 0.045200 / 0.002117
Epoch: 9 	Discriminator Loss: 0.000186 	Generator Loss: 0.012452 	D(x): 0.955109 	D(G(z)): 0.042843 / 0.002072
Epoch: 10 	Discriminator Loss: 0.000144 	Generator Loss: 0.010105 	D(x): 0.959084 	D(G(z)): 0.035241 / 0.003618
Epoch: 11 	Discriminator Loss: 0.000163 	Generator Loss: 0.010607 	D(x): 0.954954 	D(G(z)): 0.041789 / 0.002746
Epoch: 12 	Discriminator Loss: 0.000133 	Generator Loss: 0.009386 	D(x): 0.962143 	D(G(z)): 0.035862 / 0.002841
Epoch: 13 	Discriminator Loss: 0.000269 	Generator Loss: 0.009110 	D(x): 0.925101 	D(G(z)): 0.077046 / 0.005017
Epoch: 14 	Discriminator Loss: 0.000212 	Generator Loss: 0.008247 	D(x): 0.935184 	D(G(z)): 0.048006 / 0.008109
Epoch: 15 	Discriminator Loss: 0.000093 	Generator Loss: 0.007162 	D(x): 0.965200 	D(G(z)): 0.038622 / 0.002015
Epoch: 16 	Discriminator Loss: 0.000237 	Generator Loss: 0.008216 	D(x): 0.932643 	D(G(z)): 0.050516 / 0.002446
Epoch: 17 	Discriminator Loss: 0.000197 	Generator Loss: 0.006522 	D(x): 0.924851 	D(G(z)): 0.073608 / 0.007169
Epoch: 18 	Discriminator Loss: 0.000152 	Generator Loss: 0.005207 	D(x): 0.927787 	D(G(z)): 0.067707 / 0.009529
