cuda
Epoch: 1 	Discriminator Loss: 0.007285 	Generator Loss: 0.088408 	D(x): 0.839821 	D(G(z)): 0.195001 / 0.011616
Epoch: 2 	Discriminator Loss: 0.000921 	Generator Loss: 0.064342 	D(x): 0.949855 	D(G(z)): 0.055480 / 0.000602
Epoch: 3 	Discriminator Loss: 0.000421 	Generator Loss: 0.053288 	D(x): 0.967167 	D(G(z)): 0.033561 / 0.000604
Epoch: 4 	Discriminator Loss: 0.000222 	Generator Loss: 0.037385 	D(x): 0.977011 	D(G(z)): 0.024402 / 0.000654
Epoch: 5 	Discriminator Loss: 0.001013 	Generator Loss: 0.030299 	D(x): 0.912721 	D(G(z)): 0.077287 / 0.011099
Epoch: 6 	Discriminator Loss: 0.001779 	Generator Loss: 0.014785 	D(x): 0.810783 	D(G(z)): 0.177370 / 0.024196
Epoch: 7 	Discriminator Loss: 0.000680 	Generator Loss: 0.013348 	D(x): 0.878609 	D(G(z)): 0.111199 / 0.011479
Epoch: 8 	Discriminator Loss: 0.000323 	Generator Loss: 0.016493 	D(x): 0.937103 	D(G(z)): 0.062428 / 0.001518
Epoch: 9 	Discriminator Loss: 0.000211 	Generator Loss: 0.013643 	D(x): 0.951031 	D(G(z)): 0.045263 / 0.001144
Epoch: 10 	Discriminator Loss: 0.000168 	Generator Loss: 0.010558 	D(x): 0.956971 	D(G(z)): 0.043737 / 0.002140
Epoch: 11 	Discriminator Loss: 0.000137 	Generator Loss: 0.009509 	D(x): 0.958588 	D(G(z)): 0.035836 / 0.002985
Epoch: 12 	Discriminator Loss: 0.000140 	Generator Loss: 0.008396 	D(x): 0.953535 	D(G(z)): 0.039853 / 0.004087
Epoch: 13 	Discriminator Loss: 0.000093 	Generator Loss: 0.008019 	D(x): 0.968013 	D(G(z)): 0.034014 / 0.003031
Epoch: 14 	Discriminator Loss: 0.000520 	Generator Loss: 0.007767 	D(x): 0.884689 	D(G(z)): 0.106620 / 0.026796
Epoch: 15 	Discriminator Loss: 0.000279 	Generator Loss: 0.005137 	D(x): 0.903221 	D(G(z)): 0.082318 / 0.027689
Epoch: 16 	Discriminator Loss: 0.000392 	Generator Loss: 0.004573 	D(x): 0.867882 	D(G(z)): 0.130649 / 0.044707
Epoch: 17 	Discriminator Loss: 0.000464 	Generator Loss: 0.004395 	D(x): 0.842497 	D(G(z)): 0.152307 / 0.042292
Epoch: 18 	Discriminator Loss: 0.000107 	Generator Loss: 0.004415 	D(x): 0.943927 	D(G(z)): 0.052259 / 0.013255
Epoch: 19 	Discriminator Loss: 0.000119 	Generator Loss: 0.005723 	D(x): 0.942786 	D(G(z)): 0.060315 / 0.002633
Epoch: 20 	Discriminator Loss: 0.000128 	Generator Loss: 0.005494 	D(x): 0.938598 	D(G(z)): 0.059177 / 0.007802
Epoch: 21 	Discriminator Loss: 0.000266 	Generator Loss: 0.003896 	D(x): 0.889730 	D(G(z)): 0.111813 / 0.047418
Epoch: 22 	Discriminator Loss: 0.000195 	Generator Loss: 0.003894 	D(x): 0.906851 	D(G(z)): 0.090131 / 0.019182
Epoch: 23 	Discriminator Loss: 0.000181 	Generator Loss: 0.003554 	D(x): 0.891615 	D(G(z)): 0.100185 / 0.019295
Epoch: 24 	Discriminator Loss: 0.000161 	Generator Loss: 0.003318 	D(x): 0.904304 	D(G(z)): 0.089359 / 0.017936
Epoch: 25 	Discriminator Loss: 0.000132 	Generator Loss: 0.003797 	D(x): 0.917925 	D(G(z)): 0.076837 / 0.011795
Epoch: 26 	Discriminator Loss: 0.000112 	Generator Loss: 0.003482 	D(x): 0.923808 	D(G(z)): 0.072968 / 0.010555
Epoch: 27 	Discriminator Loss: 0.000084 	Generator Loss: 0.003306 	D(x): 0.937358 	D(G(z)): 0.061364 / 0.008086
Epoch: 28 	Discriminator Loss: 0.000239 	Generator Loss: 0.003261 	D(x): 0.865359 	D(G(z)): 0.123318 / 0.045664
Epoch: 29 	Discriminator Loss: 0.000117 	Generator Loss: 0.002737 	D(x): 0.912569 	D(G(z)): 0.088674 / 0.016603
